,r0,r1,r2,r3,s1,s2,s3,p1,p2,p3
14223,0.2755976242054747,0.2570089438143399,0.2595907315902497,0.2288073335406919,-0.2985435044854541,-0.4500898826324829,-0.3306350383999267,0.077583001752701,0.0033239293969316,0.0844781601305917
21156,0.282710565619653,0.2722016310011328,0.3018329299779317,0.2052798680032449,-0.4413034332247806,-0.4644395513332332,-0.1466132613419838,0.0349445895883524,0.1016083025072093,0.2445053196962971
27033,0.3103609512248496,0.3091416480690885,0.3295923577469702,0.2169511991065174,-0.2356014901100565,-0.2880988049298907,-0.2155616532928583,0.2047023421215471,-0.1930837177126667,0.2907092986089149
36056,0.2569837555500836,0.2844867401984221,0.2365457997808491,0.2217264706678793,-0.1742628283373586,-0.4482888598646062,-0.3843818525744339,0.0091643085732409,-0.2524218846172303,-0.0092259020765707
38200,0.2169066297347393,0.2776153471318153,0.2735253495782564,0.3599614891327934,0.1332610538783202,-0.0156969740429576,0.3290724942368003,0.0750651304356845,0.0901394245402998,0.3949564577836651
46652,0.27985856036867,0.3094168067805754,0.3372085936514766,0.234043334859496,-0.3158209399106055,-0.1672746957653336,-0.3949320217194842,0.0713646488164495,-0.1690370115654363,0.1474999765919974
49675,0.2067871397897255,0.2306793388830995,0.3119249434128908,0.3657860735414296,0.2866751248791201,0.2363537646979908,0.4646285220045186,0.3127072291114909,0.4662610737380593,-0.0361316234285939
56280,0.2771831592188712,0.3119522957096197,0.3553786322459295,0.2134116937312081,-0.3385216170241945,-0.382131440425178,-0.2577828913071226,0.0890296537460618,0.0080345719254291,0.2368177898827542
81209,0.3636574660206046,0.3158386370544737,0.3367686841970257,0.2016053269069347,-0.4156951002420911,-0.3363527826305009,-0.3467887120347316,0.0044685390602227,-0.1403847349009661,0.0632203344289747
96894,0.2005397494538134,0.2547810636955472,0.2243225737446852,0.3618505794190703,0.4954266544668974,0.2671462069753431,-0.2054550459437002,-0.3654954150571805,-0.4676362917263841,-0.4190120594748294
98028,0.2959118552524894,0.2993339389094434,0.3081015810286902,0.3773565576009173,0.1653959225255677,0.3367343052554875,0.3173429481865973,0.3141999851083217,0.3660890161571891,0.2270293105970035
98153,0.2931271928410504,0.2973742033888078,0.3148572300581927,0.2155200492280213,-0.0824523769034906,-0.4983871813736211,-0.2683831562101411,-0.079687453778519,-0.3516609308388584,0.0932032329111672
117701,0.3872259538947432,0.2540525787591235,0.2867056077474839,0.3585788528728965,0.1516515693007881,0.421612694055427,0.4949050786152886,0.477398772006058,0.4553099976927237,0.040100453525518
134498,0.339647017332817,0.2615694986859688,0.2678351650318831,0.3841162996566952,0.1232849794810144,0.478750575800179,0.3740144441698424,0.2147772852194441,0.4378617409499676,0.0985698088625176
143925,0.2397736073863821,0.2541586572051054,0.3040703366737459,0.2244083078618821,-0.235778361054601,-0.3623012959643548,-0.3570442166147269,-0.116588626696816,-0.1209900632991346,-0.2479943939792123
152903,0.2877104183000729,0.2501783169908551,0.2606839200651318,0.2075175846250345,-0.336862333102068,-0.3693108604058404,-0.4592734899711712,0.039888258288932,-0.1193287082365649,-0.3227374805033421
176706,0.2846798038279364,0.2799660252218025,0.2183798097369571,0.2038824798693322,-0.3764367630036144,-0.4593882355085954,-0.4101694756243218,0.2142622928750369,0.0323151260128341,-0.0079682710077704
185245,0.2249370223704743,0.2489794643077173,0.2733266968820185,0.2204881568149656,-0.4479546300606259,-0.4015551156598619,-0.3235243768066661,-0.0381393061600533,-0.2635398618673802,0.0213841840232108
188990,0.3701492660978903,0.297881269815034,0.3639399747820938,0.2148982762347856,-0.3890516431863409,-0.3899424420837015,-0.439682215852835,-0.0793711129634371,-0.0853929989845417,0.0828259910848573
215418,0.2369314239737249,0.3256310592732312,0.315950028367266,0.219696214836303,-0.1381849781763308,-0.3916946613009724,-0.306290219717557,0.0794948783370746,-0.2600275244420963,0.0839115348283687
227214,0.2019675435473923,0.2724325837696275,0.2557912002866818,0.2115197545634222,-0.2944720219517935,-0.3376114108264406,-0.4374702986482425,0.0145443623322564,-0.1018118972653809,-0.0138569166535079
251465,0.3158123954170198,0.3045677324252943,0.3512710215977849,0.2108373742772169,-0.3606112129208997,-0.282663537981319,-0.3551002353615965,0.062105574315513,-0.1018552680249139,0.0969653755176396
254300,0.3077813388480998,0.2400612249974001,0.3079428463981167,0.2092248534098948,-0.4076918911851324,-0.4601899386638212,-0.2928304583125076,0.1549101328537763,0.1529889947559537,0.1095407574947069
255980,0.2819547042038203,0.261814771438407,0.2978976156425085,0.372659383572809,0.3277088100515838,0.3828049598857546,0.363488927723795,0.2125018117919981,0.343141175192548,-0.0666035092521464
260516,0.258688442772168,0.2549360647930468,0.3014692920167638,0.2252313703811362,-0.3377655367646239,-0.3588489199498259,-0.4179203149160836,-0.1544555171043922,-0.1486029329994914,-0.3243748692343663
266309,0.2557818756694499,0.2260042679814083,0.330748186127182,0.3689843983293293,0.2714091915277302,0.430049386305071,0.1725605893056323,0.4861256887394466,0.3777538248056353,-0.1881626444435317
270241,0.2583472991632534,0.2539063463326774,0.3136040480977231,0.2231623584512862,-0.260682995544517,-0.1255943840359049,-0.4467667987482382,0.0614119320712681,-0.1856916356055992,0.1096991909372938
292362,0.2008928876372392,0.2674851021797998,0.2873419601847274,0.3270546417678404,-0.0326605206529996,-0.3725014891067616,0.4968562736157461,-0.0059254863545044,0.1366346335244462,0.4421716348300005
293531,0.2403281637900477,0.2539530044824912,0.3294065574900106,0.3794595639547828,0.2009906230227831,0.4691242664146137,0.3722202341906794,0.4131979049596331,0.3772474879461577,-0.0643932815189082
295826,0.3226981664812504,0.2643225320104839,0.2660541853845453,0.2339506846292222,-0.2281953397956511,-0.464024876370736,-0.2949326723777663,-0.0038152619531953,0.0652168852685183,-0.0809420382307229
303765,0.3980087902480302,0.3152952184679986,0.3241749324285941,0.2086305963369588,-0.4970843867656781,-0.4997835246708327,-0.4647097267929818,0.009719673078314,-0.0157799463153613,0.0919045556857299
304478,0.2998535481688797,0.3073676096267684,0.32980029815778,0.2103821260587319,-0.2519113264683965,-0.4796994613419398,6.03460359731578e-05,0.2198275461916629,-0.120411323088153,0.1991823209360514
316767,0.264257421718653,0.2435128332716826,0.2955037913896686,0.3802608592648161,0.3590783740802566,0.1571574880646227,0.2872687488154334,0.4809266469151522,0.455626939271148,0.0016510197387925
324645,0.3046704848736543,0.3200931587651862,0.3664011938828659,0.200528415092491,-0.3335184644482225,-0.4718936552890244,-0.4912389966438444,-0.0638985001667719,-0.1058459231840377,-0.218929179588168
327746,0.2681270316911731,0.265126398368236,0.2562549808538137,0.2361695269032607,-0.2708517938825598,-0.3820774077249899,-0.043120444301681,0.0285721784549149,-0.1059631827698576,0.0585288919122301
335737,0.2415430079429635,0.3128237320413342,0.3646663400270254,0.205414453455209,-0.4054036169329666,-0.4241577996160173,-0.380237127415528,0.0094432267497204,-0.1277549370015925,0.0172039764141699
336094,0.255600027760429,0.2572670288444903,0.2653932727534982,0.2274739931671655,-0.4680021044238234,-0.4973693097820454,-0.388729294916151,0.0410686234245895,-0.0735439437498864,0.2770266598401689
342930,0.2689729171142596,0.2850274986344425,0.25330442426069,0.2371600192318124,-0.4313430412303097,-0.3683250424023016,-0.2028549314877079,0.1580123828256932,0.1042244262919689,0.1828732625248863
355302,0.2579811443193598,0.297481696531863,0.31553005957727,0.2086697255851676,-0.1605398882562123,-0.4533929916866634,-0.4472170822370011,-0.0687786467027078,0.3295686814355957,-0.0892681347608421
355747,0.3283067045354432,0.3274126188877659,0.3219939851199914,0.2455465481377025,-0.1417257284082691,-0.3214290267409324,-0.3343205279951555,-0.0069155432344409,-0.1266470090740064,0.0627821801426431
357250,0.2610048195488398,0.3033935540282174,0.3104390787543703,0.252904370352761,-0.4199131654765757,-0.4514737989434096,-0.3500037090224711,-0.0574178722978893,-0.046748690491944,0.1853235535395383
372852,0.2727577025174081,0.2315070594658259,0.2980062202724019,0.204631101523394,-0.4891291053663815,-0.399630834400981,-0.3897926025992129,0.0345995289270579,-0.1701382733885146,-0.152882443265343
376544,0.3070433270525247,0.3031277043879349,0.3042169094454767,0.2090279260758237,-0.3341931178331225,-0.3902224686071401,-0.3727897818852632,0.0751052967728007,-0.0950786271241316,0.3019383103381827
379487,0.2714039212294648,0.3168184956350603,0.3471273085622982,0.3646325557830502,0.0679209998367791,0.4768896134607279,0.2632825410208254,0.4363663539003983,0.4897578841923409,0.1127298771707414
389911,0.2255540258614608,0.2827071326651763,0.3019481910299638,0.3760977395167448,0.3332129492532713,0.2908942833739624,0.4338775403305042,0.2471084323944251,0.4531495569117989,-0.0245256364401468
391146,0.2261737432243349,0.2803719906903775,0.2915857872587989,0.2130592564447962,0.0127891134127117,-0.4811902011770294,-0.4963857221705333,-0.1909036081546312,-0.0871529083533354,0.0918457817151636
391424,0.2649943832241358,0.292062677901803,0.3516023459146262,0.2232140781016099,-0.4215181677243409,-0.3629494520270303,-0.4565795510410424,-0.0483339890369,-0.3634849442772441,0.3600788894506675
418345,0.2813587589991453,0.2910077394258056,0.3521385090721701,0.2273009842600932,-0.2480533158858433,-0.4780560578786847,-0.4054702341334061,-0.0100300836261273,-0.124162151378563,0.3354355235647671
436156,0.2347235971288683,0.2665158948168215,0.2682524322532785,0.2214840197118064,-0.2668001870455864,-0.036824017989229,-0.4439157823821933,0.0617604022567609,-0.1701333206761385,-0.0476789846057355
439670,0.2009015845685233,0.2421856304319857,0.2689747079491172,0.3510629972964718,0.2367252562169246,0.1275497718603403,0.3599169841452311,0.117243546693299,0.0461795645472652,0.3994247417335177
447823,0.2151303920515885,0.2680034038247518,0.3319822134713117,0.3802360604146184,0.3239362040530048,-0.1033206322782784,0.3031346891809969,0.2278127515205229,0.0625023292753106,0.3191344177435508
484585,0.3088082324817258,0.2614848370798882,0.2596640910158284,0.2029352035298637,-0.1449688787441577,-0.4153879528047924,-0.4761926255940634,0.0127133758088112,-0.2938494447280191,-0.1802135622764071
487769,0.2333787457665932,0.2592212064094715,0.2952923579620011,0.3542722456966759,0.3576117195079326,0.3964637148539515,0.461277768054083,0.2771964166214383,0.4365336042838625,-0.0833949460463294
497595,0.2273512000408094,0.2441582354011612,0.2994143273215386,0.2064949269273861,-0.4409556736624211,-0.2065251813280387,-0.4840770433128478,-0.0527481202716746,0.1180071409475417,-0.1831843181291654
507116,0.2719413694464659,0.2491784107062445,0.3292501282397995,0.395940738210255,0.4275256065273282,0.2284817692451984,0.417121885602995,0.4021771253605954,0.3448881185689498,-0.0277987166025887
514005,0.2136000047098669,0.2501616196086641,0.2411429819046556,0.3987508371614279,0.4093037041336219,0.3633675763853149,-0.3545840639496973,-0.2451472868904746,-0.4514783936719124,-0.2842650774987675
521697,0.313464535278612,0.3104784311672648,0.341536974592556,0.2039683344203389,-0.3941383816422368,-0.3007648632539319,-0.3905784077278481,0.0182781918022141,-0.3290013293875612,-0.0082622587793919
535626,0.3268916484897366,0.2750244332959087,0.3433803229526334,0.2231923994761138,-0.2028106613351203,-0.4848007686484719,-0.3502437154590742,-0.1261535659889343,-0.3548387540458055,0.1551650573860751
564858,0.2325345121629085,0.2908621806805355,0.3443865111389523,0.3809843343425054,0.3490756908510598,-0.1655351009760605,0.242400610843314,0.2299484529670867,-0.0166008238730259,0.437643556086808
566552,0.3203646743486715,0.329641831257676,0.2821227191224519,0.2045751188024372,-0.3036284263199107,-0.3501806144930336,-0.4753910292276652,0.1834843346907729,-0.0509873733018573,0.1483036162197444
566557,0.318380513794987,0.2718220777525553,0.2862915878426151,0.2351708053073677,-0.3146454660961589,-0.4829910048884109,-0.319129369248909,-0.1401390678619858,0.1252894379742274,-0.2902160194303046
595801,0.2953342599968602,0.3357718750066664,0.3112561305685873,0.2160324062085493,-0.2169949295412647,-0.4998463053991119,-0.2671940668159062,0.297627333063144,-0.1350342935410946,0.1056825776544297
617882,0.2996469701264774,0.3182410825631507,0.3043786264931907,0.255974193611295,-0.181819137764016,-0.2857960318404779,-0.1348758264965994,0.0379035257970906,0.0828040906555538,0.1426556118903807
623768,0.3351332306191852,0.3103716844754712,0.3411497707045309,0.2082892672809378,-0.4256826423943748,-0.3943726729366746,-0.2959267875754818,0.1586687286117967,0.1331623871971995,0.0931021699111231
632591,0.3206407664455112,0.2508351761758693,0.3072118031922896,0.3694614474400651,0.2894146585388114,0.2387316441015063,0.3300361497931076,0.3105547309352633,0.4782425600007264,-0.0280870082421283
639501,0.2065475904694318,0.2735542656732621,0.3298268055836194,0.3897396707794288,0.3151025812462279,0.4945483334931903,0.3647924441154645,0.3884772075129882,0.3162373487219306,-0.060951644775568
