,GBP,avgLoss,bandwidth,delay,loss_at_ng0,ng0,p1,p2,p3,r0,r1,r2,r3,s1,s2,s3
0,0.3617,238.0207,0.0247,9.4689,335.3977,14.5275,-0.445733,-0.258889,-0.214114,0.313574,0.295795,0.224428,0.4,0.087644,0.251981,0.467812
1,0.3086,203.3442,0.019,35.7389,110.5544,16.8533,-0.431245,-0.252118,-0.215515,0.31161,0.294623,0.226254,0.4,0.09119,0.236828,0.477548
2,0.6252,228.9644,0.0384,11.8131,325.2415,16.5263,-0.436943,-0.259563,-0.20263,0.305807,0.301488,0.235371,0.4,0.08746,0.248434,0.475315
3,0.5406,144.8333,0.0399,17.2613,169.4722,13.7759,-0.438244,-0.255569,-0.201864,0.302355,0.295821,0.232006,0.387924,0.096739,0.254794,0.486009
4,0.567,128.6339,0.044,47.0829,55.0928,12.7818,-0.434992,-0.240648,-0.200504,0.314615,0.308738,0.224597,0.389668,0.097549,0.24768,0.482551
5,0.4015,245.2683,0.0265,10.7565,313.8153,15.1267,-0.442273,-0.249613,-0.20815,0.310833,0.301952,0.229294,0.4,0.087183,0.242474,0.470018
6,0.4919,201.8748,0.0349,21.2476,141.2719,14.0051,-0.439106,-0.242441,-0.211436,0.301136,0.297141,0.219792,0.4,0.09275,0.241052,0.477706
7,0.6271,177.1449,0.043,12.9075,251.2607,14.7294,-0.431758,-0.25675,-0.203685,0.302862,0.304545,0.219251,0.4,0.085922,0.252209,0.476191
8,0.4049,234.4848,0.0269,11.1552,302.0385,15.1079,-0.441726,-0.243413,-0.205435,0.303543,0.293537,0.228347,0.397209,0.083866,0.247272,0.472348
9,0.3118,216.2157,0.0199,11.5219,299.1359,15.3399,-0.448324,-0.254233,-0.210954,0.315666,0.296152,0.223309,0.4,0.088628,0.242491,0.486593
10,0.4507,197.3876,0.0307,12.5292,258.9958,14.735,-0.443411,-0.252237,-0.200201,0.315869,0.304762,0.232153,0.38941,0.083229,0.250557,0.475611
11,0.5855,181.074,0.0421,11.3133,269.8234,14.1578,-0.441043,-0.248709,-0.217316,0.305035,0.302059,0.235145,0.395716,0.096722,0.235113,0.476905
12,0.5875,175.7361,0.0418,12.1485,260.3497,14.4886,-0.443295,-0.250616,-0.204824,0.298846,0.300045,0.226589,0.398601,0.095307,0.248841,0.485668
13,0.6265,185.4764,0.041,12.1427,288.973,15.5267,-0.437944,-0.247117,-0.205703,0.315355,0.305058,0.234678,0.393117,0.085575,0.242143,0.483571
14,0.5839,152.4728,0.0432,9.7813,293.1397,13.6019,-0.442027,-0.245337,-0.208822,0.3127,0.30997,0.217776,0.4,0.094523,0.249708,0.475601
15,0.4083,202.178,0.0296,9.8009,292.9807,13.6145,-0.428758,-0.251448,-0.217532,0.307862,0.298858,0.221538,0.398388,0.089664,0.249764,0.472628
16,0.5908,158.4741,0.0432,10.0121,293.8903,13.8273,-0.429883,-0.241805,-0.215503,0.299771,0.292669,0.233932,0.394266,0.09808,0.254282,0.468797
17,0.5847,160.3521,0.0411,9.9679,310.4212,14.2828,-0.443266,-0.241045,-0.20585,0.314543,0.302653,0.231928,0.394532,0.096731,0.246915,0.481793
18,0.4457,158.945,0.0324,40.3957,76.315,14.2484,-0.443354,-0.249489,-0.205044,0.305319,0.293257,0.219539,0.388925,0.088694,0.247175,0.478288
19,0.4514,248.0699,0.0296,12.6573,275.1217,15.4469,-0.445146,-0.25426,-0.213722,0.314916,0.296406,0.227652,0.396306,0.081061,0.246138,0.479231
20,0.403,204.5028,0.0288,11.4023,257.642,13.8132,-0.432762,-0.243214,-0.205914,0.307667,0.298965,0.21903,0.4,0.097341,0.240812,0.474026
21,0.619,154.1896,0.0452,22.5918,122.8869,13.3287,-0.438652,-0.25428,-0.214693,0.306997,0.308197,0.225024,0.395846,0.085575,0.241596,0.479651
22,0.402,200.8415,0.0282,14.8468,211.6337,14.4263,-0.432922,-0.254116,-0.211349,0.310384,0.302844,0.218015,0.397871,0.081102,0.247336,0.470236
23,0.586,167.3368,0.0432,12.0285,245.7059,13.8664,-0.443152,-0.259022,-0.216395,0.304496,0.305468,0.223762,0.4,0.092672,0.250603,0.483841
24,0.6265,181.0627,0.0407,12.5908,280.1186,15.5807,-0.430533,-0.246045,-0.199979,0.312994,0.306237,0.234244,0.390054,0.083197,0.236229,0.479707
25,0.3621,187.1566,0.0259,14.9333,198.9578,13.9133,-0.440218,-0.256411,-0.209315,0.299554,0.310867,0.228759,0.391439,0.081519,0.25204,0.486368
26,0.3586,210.7118,0.0257,11.6836,250.5061,13.7804,-0.441391,-0.245088,-0.209719,0.3106,0.296774,0.217335,0.398466,0.092725,0.237723,0.473758
27,0.5964,129.1213,0.0459,14.0152,192.6677,13.1008,-0.437043,-0.244223,-0.202638,0.297982,0.308144,0.222218,0.388054,0.081611,0.24738,0.482379
