,GBP,avgLoss,bandwidth,delay,loss_at_ng0,ng0,p1,p2,p3,r0,r1,r2,r3,s1,s2,s3
0,0.2327,1685.8265,0.0108,3.1287,1756.8373,-21.4896,-0.293304,-0.474249,0.064878,0.390359,0.371487,0.320931,0.349515,0.5,0.39139,-0.174785
1,0.2347,1791.1142,0.0127,2.3244,1910.3813,-18.3216,-0.290317,-0.483856,0.059762,0.3978,0.36346,0.332774,0.336229,0.5,0.386931,-0.16813
2,0.3539,1818.5907,0.0204,2.8172,1438.6491,-17.1589,-0.292115,-0.470035,0.068013,0.389935,0.368708,0.326312,0.34079,0.5,0.383613,-0.160723
3,0.51,1113.6533,0.0275,4.5067,990.6228,-18.3933,-0.29089,-0.477396,0.073473,0.384778,0.375908,0.332628,0.352781,0.5,0.387618,-0.172272
4,0.3119,1868.1234,0.0161,2.5006,1915.1998,-19.3672,-0.293802,-0.469642,0.058023,0.384761,0.371069,0.32204,0.354376,0.5,0.384133,-0.177932
5,0.4421,930.2196,0.0234,3.4509,1420.9963,-19.711,-0.295681,-0.476796,0.063638,0.382607,0.371232,0.331405,0.340144,0.5,0.389013,-0.170192
6,0.3099,1206.3756,0.0146,4.1384,1291.2049,-21.0305,-0.285048,-0.485832,0.060179,0.392026,0.377314,0.325177,0.349682,0.5,0.386867,-0.172872
7,0.4014,853.7402,0.0178,5.9026,1013.6474,-22.9494,-0.297027,-0.472919,0.067031,0.386721,0.378465,0.327847,0.338132,0.5,0.400319,-0.16166
8,0.2708,1957.8268,0.0103,3.5668,2022.9362,-26.6459,-0.291467,-0.469498,0.06487,0.397099,0.377427,0.327298,0.350465,0.5,0.391597,-0.177695
9,0.5626,1385.2624,0.0339,1.6874,2298.8317,-16.637,-0.298543,-0.487228,0.057059,0.380822,0.36608,0.332359,0.351307,0.5,0.389494,-0.178621
