,GBP,avgLoss,bandwidth,delay,loss_at_ng0,ng0,p1,p2,p3,r0,r1,r2,r3,s1,s2,s3
0,0.6271,180.797,0.0429,11.2989,274.1599,14.2932,-0.43435,-0.250731,-0.206974,0.30639,0.304324,0.225504,0.4,0.09018,0.243649,0.480478
1,0.6249,192.9785,0.0426,11.1517,296.4036,14.9162,-0.436491,-0.249838,-0.208616,0.307755,0.307295,0.229254,0.399735,0.089607,0.242781,0.474809
2,0.6263,189.2406,0.042,11.3458,296.3909,15.0884,-0.437137,-0.24998,-0.207476,0.306075,0.303054,0.227073,0.4,0.089346,0.244458,0.478647
3,0.6259,184.1564,0.0429,11.0034,283.6172,14.3623,-0.43376,-0.249488,-0.211979,0.309108,0.305583,0.228966,0.4,0.090579,0.242529,0.480646
4,0.5829,166.4662,0.0417,9.6099,311.2923,13.9744,-0.438558,-0.250127,-0.207708,0.306544,0.3073,0.228798,0.399583,0.09351,0.246496,0.475404
5,0.625,188.1402,0.0428,11.3299,289.6207,14.8441,-0.437428,-0.254533,-0.20765,0.307229,0.304582,0.226604,0.4,0.093374,0.241903,0.476455
6,0.6261,184.6654,0.0428,11.407,288.5604,14.8748,-0.436174,-0.254024,-0.210722,0.307518,0.302797,0.2266,0.4,0.091416,0.245409,0.479243
7,0.6277,177.9423,0.0431,11.8499,272.9795,14.7043,-0.436688,-0.251376,-0.207483,0.305819,0.302935,0.225803,0.397763,0.08925,0.243753,0.477545
8,0.6258,188.3623,0.0421,11.3581,290.8118,14.9092,-0.434092,-0.250873,-0.206964,0.307872,0.30477,0.225732,0.4,0.089772,0.242964,0.477391
9,0.6198,187.3446,0.0428,16.746,186.973,14.3931,-0.439061,-0.253855,-0.210224,0.306158,0.306119,0.22822,0.4,0.090446,0.243566,0.4759
