,GBP,avgLoss,bandwidth,delay,loss_at_ng0,ng0,p1,p2,p3,r0,r1,r2,r3,s1,s2,s3
0,0.6253,190.9505,0.0428,11.1451,293.7351,14.8212,-0.436132,-0.251935,-0.209502,0.307627,0.304397,0.228361,0.4,0.093095,0.243203,0.476217
1,0.6251,188.9963,0.0422,12.2786,270.7661,14.9739,-0.435467,-0.253844,-0.20965,0.308574,0.30389,0.225885,0.39982,0.090161,0.245389,0.47638
2,0.6249,183.0449,0.0429,12.3189,265.4706,14.8109,-0.435541,-0.251399,-0.211317,0.309275,0.303914,0.224737,0.399723,0.091045,0.243993,0.47738
3,0.625,184.1689,0.0434,11.3381,282.6173,14.613,-0.434447,-0.251594,-0.209309,0.308808,0.305934,0.226022,0.4,0.092955,0.24268,0.476979
4,0.6267,179.5857,0.044,11.0946,269.9771,13.9859,-0.436714,-0.251157,-0.210695,0.308928,0.306714,0.225957,0.4,0.092112,0.243293,0.478548
5,0.6262,188.9681,0.0428,11.2844,286.0148,14.6825,-0.437867,-0.254019,-0.209973,0.308942,0.305127,0.226547,0.4,0.091058,0.245787,0.47653
6,0.6124,180.7522,0.0432,45.1582,69.5963,14.4285,-0.4365,-0.253363,-0.211405,0.307172,0.304864,0.226453,0.4,0.093424,0.245375,0.477701
7,0.6123,185.6758,0.0428,44.6764,71.2827,14.554,-0.435124,-0.251834,-0.208203,0.306802,0.305438,0.227141,0.4,0.0936,0.245163,0.476772
8,0.6257,191.6685,0.0418,11.2788,298.3084,15.0937,-0.435906,-0.253446,-0.207813,0.307611,0.30371,0.227285,0.4,0.090438,0.243018,0.477456
9,0.6251,184.4681,0.043,11.4504,279.5598,14.6032,-0.437732,-0.25272,-0.208021,0.31058,0.305525,0.224868,0.4,0.093162,0.243481,0.478452
