,GBP,avgLoss,bandwidth,delay,loss_at_ng0,ng0,p1,p2,p3,r0,r1,r2,r3,s1,s2,s3
0,0.6277,175.5383,0.0431,11.9293,270.9361,14.6962,-0.43677,-0.251585,-0.207725,0.306061,0.302494,0.22493,0.397795,0.089272,0.243345,0.478447
1,0.6286,174.5804,0.0436,11.9783,265.4624,14.5394,-0.437686,-0.250646,-0.20826,0.305814,0.302837,0.225891,0.396836,0.089282,0.24393,0.477042
2,0.6272,174.4515,0.0435,11.9562,269.7493,14.6755,-0.436128,-0.251445,-0.208001,0.306568,0.303639,0.22579,0.397474,0.089976,0.242814,0.478409
3,0.6274,181.253,0.0425,11.7698,280.3266,14.8982,-0.4371,-0.250973,-0.206704,0.305877,0.302553,0.226388,0.397979,0.088878,0.243149,0.478003
4,0.6278,180.9855,0.0427,11.7233,276.7232,14.7323,-0.436248,-0.251084,-0.20656,0.305635,0.302035,0.225277,0.398186,0.09,0.243,0.476972
5,0.6285,172.404,0.0439,12.0448,261.2834,14.4413,-0.436144,-0.250569,-0.207213,0.305292,0.302863,0.224869,0.396806,0.090241,0.243263,0.476706
6,0.6274,180.773,0.0428,11.7916,280.3442,14.9171,-0.437247,-0.251052,-0.20658,0.305003,0.303337,0.226779,0.398006,0.088286,0.243937,0.477712
7,0.6272,180.8999,0.0425,11.7711,281.2255,14.931,-0.437459,-0.251659,-0.206994,0.305538,0.302817,0.226245,0.398188,0.088525,0.243031,0.477991
8,0.6243,181.4173,0.0421,14.4704,229.2354,14.9514,-0.435964,-0.252345,-0.208286,0.306329,0.301982,0.224879,0.398741,0.088342,0.244318,0.478088
9,0.6277,182.0274,0.0428,11.761,275.8681,14.7335,-0.437683,-0.251945,-0.206558,0.306807,0.302948,0.226629,0.397512,0.090192,0.243627,0.476812
