,GBP,avgLoss,bandwidth,delay,loss_at_ng0,ng0,p1,p2,p3,r0,r1,r2,r3,s1,s2,s3
0,0.5323,105.7016,0.0456,16.1557,140.0188,11.7863,-0.433487,-0.257443,-0.21399,0.316187,0.321974,0.21187,0.391203,0.08971,0.254389,0.469391
1,0.4941,120.8726,0.0417,13.9795,170.1814,12.1372,-0.418925,-0.249957,-0.202582,0.305658,0.314962,0.214708,0.391904,0.096787,0.265611,0.465637
2,0.537,127.0851,0.042,10.7164,253.2798,13.1428,-0.423264,-0.24608,-0.197487,0.308819,0.317196,0.211141,0.395844,0.096983,0.251135,0.452618
3,0.3122,82.9534,0.0299,18.3356,104.8439,10.7671,-0.419693,-0.247188,-0.207671,0.302878,0.322451,0.224389,0.389549,0.103851,0.250988,0.459984
4,0.533,130.5432,0.044,10.6622,238.4973,12.6287,-0.42296,-0.260663,-0.206181,0.313744,0.321505,0.21403,0.4,0.103623,0.25448,0.459511
5,0.311,108.159,0.0286,17.4964,114.0378,10.9858,-0.424574,-0.257564,-0.207603,0.301963,0.322698,0.210766,0.397462,0.106704,0.255729,0.466532
6,0.4416,116.953,0.0384,14.7035,155.5646,11.862,-0.426707,-0.248389,-0.197084,0.310374,0.330971,0.217693,0.394545,0.098218,0.25001,0.457442
7,0.4481,119.9252,0.038,16.7241,141.5685,12.1028,-0.433772,-0.248543,-0.207081,0.303836,0.318794,0.219632,0.390594,0.091118,0.253703,0.469498
8,0.3105,104.86,0.029,17.5187,110.6017,10.8128,-0.418434,-0.247232,-0.202189,0.298544,0.328017,0.21015,0.396921,0.105078,0.252184,0.459244
9,0.4445,126.3782,0.0372,14.3485,168.5652,12.256,-0.434484,-0.256439,-0.200841,0.304479,0.313532,0.221828,0.396952,0.107923,0.259595,0.463283
