,GBP,avgLoss,bandwidth,delay,loss_at_ng0,ng0,p1,p2,p3,r0,r1,r2,r3,s1,s2,s3
0,0.6288,179.3384,0.0432,11.8051,271.7177,14.6229,-0.438443,-0.2509,-0.208612,0.305866,0.302853,0.22671,0.397216,0.088431,0.244903,0.476375
1,0.6284,181.3351,0.0428,11.702,276.166,14.6951,-0.438404,-0.249842,-0.208272,0.305982,0.30255,0.226516,0.397497,0.08844,0.243174,0.476189
2,0.628,170.5052,0.0443,12.0803,262.1327,14.4999,-0.437221,-0.250254,-0.208704,0.305124,0.303696,0.225755,0.397035,0.089635,0.244499,0.477885
3,0.6281,173.6433,0.0437,12.0383,265.42,14.5856,-0.438539,-0.25086,-0.2074,0.305581,0.303573,0.225094,0.397374,0.088818,0.24486,0.478037
4,0.629,180.4464,0.043,11.7317,272.8351,14.6025,-0.438619,-0.25025,-0.209194,0.306479,0.302173,0.226562,0.397348,0.088808,0.244831,0.476608
5,0.6274,170.9,0.0437,13.1915,241.4343,14.5546,-0.436695,-0.25091,-0.208805,0.30661,0.302458,0.224929,0.396119,0.088841,0.244752,0.47749
6,0.6274,171.8003,0.0435,13.1747,242.4921,14.5843,-0.437595,-0.251399,-0.208579,0.306057,0.302363,0.225001,0.395988,0.088451,0.243391,0.476358
7,0.6269,177.5588,0.0435,12.8974,249.7612,14.6638,-0.436941,-0.250441,-0.20831,0.305912,0.302669,0.226849,0.396704,0.089931,0.244463,0.476046
8,0.6265,183.9032,0.0424,12.6482,260.9426,14.9014,-0.437862,-0.250272,-0.207619,0.306564,0.302285,0.226527,0.397773,0.089246,0.244121,0.476244
9,0.6151,174.5143,0.0432,47.045,67.8758,14.5796,-0.438562,-0.250272,-0.208812,0.305392,0.303128,0.226783,0.396588,0.090183,0.244604,0.476136
